key,de-DE,en-US,da-DK,fi-FI,sv-SE,it-IT,es-ES,ru-RU,pl-PL,cs-CZ
server.config.group.system.plugin_fylr_example.title,FYLR Example,FYLR Example,FYLR Example,FYLR Example,FYLR Example,FYLR Example,FYLR Example,FYLR Example,FYLR Example,FYLR Example
server.config.name.system.plugin_fylr_example_comment,Das ist das FYLR Example Plugin,This is the FYLR example plugin,This is the FYLR example plugin,This is the FYLR example plugin,This is the FYLR example plugin,This is the FYLR example plugin,This is the FYLR example plugin,This is the FYLR example plugin,This is the FYLR example plugin,This is the FYLR example plugin
server.config.parameter.system.plugin_fylr_example_comment.value.label,set_comment.js _comment,set_comment.js _comment,set_comment.js _comment,set_comment.js _comment,set_comment.js _comment,set_comment.js _comment,set_comment.js _comment,set_comment.js _comment,set_comment.js _comment,set_comment.js _comment
fylr.example.custom.data.type.name,FYLR example custom data type,FYLR example custom data type,FYLR example custom data type,FYLR example custom data type,FYLR example custom data type,FYLR example custom data type,FYLR example custom data type,FYLR example custom data type,FYLR example custom data type,FYLR example custom data type
server.config.name.system.comment,Kommentar,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
server.config.parameter.system.comment.value.label,-,-,-,-,-,-,-,-,-,-
server.config.name.system.custom,Eigene Daten,Custom data,Custom data,Custom data,Custom data,Custom data,Custom data,Custom data,Custom data,Custom data
server.config.parameter.system.custom.data.label,-,-,-,-,-,-,-,-,-,-
server.config.parameter.system.custom.on_off.label,-,-,-,-,-,-,-,-,-,-
server.config.parameter.system.custom.on_off.checkbox,Checkbox,Checkbox,Checkbox,Checkbox,Checkbox,Checkbox,Checkbox,Checkbox,Checkbox,Checkbox
server.right.system.plugin.fylr_example.example_right,FYLR Example Plugin: M̦gliche Werte um Rechte an Plugins zu steuern,FYLR Example Plugin: Possible values for rights on plugins,FYLR Example Plugin: Possible values for rights on plugins,FYLR Example Plugin: Possible values for rights on plugins,FYLR Example Plugin: Possible values for rights on plugins,FYLR Example Plugin: Possible values for rights on plugins,FYLR Example Plugin: Possible values for rights on plugins,FYLR Example Plugin: Possible values for rights on plugins,FYLR Example Plugin: Possible values for rights on plugins,FYLR Example Plugin: Possible values for rights on plugins
server.right.system.plugin.fylr_example.example_right.parm.bool,Ja/Nein (Boolescher Wert),Yes/No (Boolean),Yes/No (Boolean),Yes/No (Boolean),Yes/No (Boolean),Yes/No (Boolean),Yes/No (Boolean),Yes/No (Boolean),Yes/No (Boolean),Yes/No (Boolean)
server.right.system.plugin.fylr_example.example_right.parm.int,Zahlenfeld,Number,Number,Number,Number,Number,Number,Number,Number,Number
server.right.system.plugin.fylr_example.example_right.parm.text,Einzeiliger Text,Oneline Text,Oneline Text,Oneline Text,Oneline Text,Oneline Text,Oneline Text,Oneline Text,Oneline Text,Oneline Text
server.right.system.plugin.fylr_example.example_right.parm.string-list,Beliebige Auswahl aus Liste von Strings,Select one or more from a list of strings,Select one or more from a list of strings,Select one or more from a list of strings,Select one or more from a list of strings,Select one or more from a list of strings,Select one or more from a list of strings,Select one or more from a list of strings,Select one or more from a list of strings,Select one or more from a list of strings
server.right.system.plugin.fylr_example.example_right.parm.string-list.option.a,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Option A
server.right.system.plugin.fylr_example.example_right.parm.string-list.option.b,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B
server.right.system.plugin.fylr_example.example_right.parm.string-list.option.c,Option C,Option C,Option C,Option C,Option C,Option C,Option C,Option C,Option C,Option C
server.right.system.plugin.fylr_example.example_right.parm.string-list-one,Auswahl aus Liste von Strings (exakt eine Auswahl),Select one from a list of strings (select exactly one),Select one from a list of strings (select exactly one),Select one from a list of strings (select exactly one),Select one from a list of strings (select exactly one),Select one from a list of strings (select exactly one),Select one from a list of strings (select exactly one),Select one from a list of strings (select exactly one),Select one from a list of strings (select exactly one),Select one from a list of strings (select exactly one)
server.right.system.plugin.fylr_example.example_right.parm.string-list-one.option.a,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Option A
server.right.system.plugin.fylr_example.example_right.parm.string-list-one.option.b,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B
server.right.system.plugin.fylr_example.example_right.parm.string-list-one.option.c,Option C,Option C,Option C,Option C,Option C,Option C,Option C,Option C,Option C,Option C
server.right.system.plugin.fylr_example.example_right.parm.string-list-one-or-zero,Auswahl aus Liste von Strings (oder keine Auswahl),Select one from a list of strings (or no selection),Select one from a list of strings (or no selection),Select one from a list of strings (or no selection),Select one from a list of strings (or no selection),Select one from a list of strings (or no selection),Select one from a list of strings (or no selection),Select one from a list of strings (or no selection),Select one from a list of strings (or no selection),Select one from a list of strings (or no selection)
server.right.system.plugin.fylr_example.example_right.parm.string-list-one-or-zero.option.a,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Option A,Option A
server.right.system.plugin.fylr_example.example_right.parm.string-list-one-or-zero.option.b,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B,Option B
server.right.system.plugin.fylr_example.example_right.parm.string-list-one-or-zero.option.c,Option C,Option C,Option C,Option C,Option C,Option C,Option C,Option C,Option C,Option C
server.right.system.plugin.fylr_example.example_right.parm.eas-column-select,Asset-Feld,Asset Field,Asset Field,Asset Field,Asset Field,Asset Field,Asset Field,Asset Field,Asset Field,Asset Field
example.detail.sidebar.plugin.render_object|icon,fa-cubes,fa-cubes,fa-cubes,fa-cubes,fa-cubes,fa-cubes,fa-cubes,fa-cubes,fa-cubes,fa-cubes
example.detail.sidebar.plugin.render_object|hint,Example Plugin: Objekt rendern,Example Plugin: render object,Example Plugin: render object,Example Plugin: render object,Example Plugin: render object,Example Plugin: render object,Example Plugin: render object,Example Plugin: render object,Example Plugin: render object,Example Plugin: render object
fylr_example.check.not_allowed,"""henk was here"" ist nicht erlaubt","""henk was here"" is not allowed","""henk was here"" is not allowed","""henk was here"" is not allowed","""henk was here"" is not allowed","""henk was here"" is not allowed","""henk was here"" is not allowed","""henk was here"" is not allowed","""henk was here"" is not allowed","""henk was here"" is not allowed"
collection_upload.parameter.filename_target.label,,Target Field,,,,,,,,
collection_upload.parameter.more.label,,More,,,,,,,,
collection_upload.parameter.more.key.label,,Key,,,,,,,,
collection_upload.parameter.more.value.label,,Value,,,,,,,,
collection_upload.parameter.copy_object.label,,Copy Object,,,,,,,,
collection_upload.parameter.default_test.label,,Test,,,,,,,,
collection_upload.parameter.copy_object.checkbox,,-,,,,,,,,